robot,agent_type
tb1,ORCA_DD
tb2,ORCA_DD
tb3,ORCA_DD
tb4,NOD
tb5,NOD
tb6,ORCA_DD
tb7,NOD
tb8,NOD
tb9,NOD
tb10,NOD
tb11,NOD
tb12,NOD
