robot,agent_type
tb1,MPC_CBF
tb2,MPC_CBF
tb3,MPC_CBF
tb4,NOD
tb5,NOD
tb6,MPC_CBF
tb7,NOD
tb8,NOD
tb9,NOD
tb10,NOD
tb11,NOD
tb12,NOD
